Index,Text,Sentiment
1779,alexa voice recognition quality good sound quality good excellent product amazon,Positive
1676,alexa wonderful ausome sound quality great music time kind funny u use hindi language great fun,Positive
2429,alexa wonderful concept but could see limitations couldnt recognize instructions play songs doesnt play old tamil songs,Positive
3720,alexa work fine good product google home moni,Positive
3045,alexa work good give information right way,Positive
1935,alexa work properly,Neutral
2188,alexa worst product if say alexa mosquito repellent start say find referencecom etc waste money,Negative
3693,alexabest eperience ever,Neutral
3750,alexas sound doesnt good play netflix prime otherwise good,Positive
746,alexq gen smart speaker goodthere slight delay recognize voiceotherwise good product thank amazonhoped will fix future update,Positive
2175,alk three voice recognition alexa integration sound quality areexcellent,Positive
2635,alla average performance,Negative
1764,almost goodbut cant connect iphone hotspot alexawhysolution pleasethank amazonits apps show generation,Neutral
2672,almost month no issue till date good connectivity smart devices,Positive
2558,already become part family,Neutral
255,already google assisatant voice recognition shouldnt much deal alexa need plug conected wifi network function alexa if no wifi act bluetooth speaker sound qualitu pretty good alexa alexa isnt much fun think,Positive
1848,already oneand order another dealreally great product,Positive
1936,always connectivity issue customer care people not able help,Negative
4149,always like items home,Neutral
1074,always need wire begin one must connect android phone,Neutral
452,always say invalid password connect android samsung devices however work ios devices share screenshot amazon team but barely reply highly disappoint,Negative
1709,always will connect issue,Neutral
1878,amaze,Positive
2840,amaze,Positive
2963,amaze,Positive
3344,amaze,Positive
3623,amaze,Positive
3725,amaze,Positive
3937,amaze,Positive
3801,amaze addition smart gadget,Positive
3363,amaze alexa,Positive
4034,amaze alexa,Positive
2471,amaze awesome ai speaker alexa mind blow voice recognition good speak quality thank amazon,Positive
2451,amaze cant tell nice use since year love,Positive
4036,amaze device,Positive
3922,amaze device worth every penny gen version masterpiece,Positive
2207,amaze feature round performance good stuff bring amazon,Positive
2106,amaze feel day use will review days,Positive
3942,amaze gift wife,Positive
779,amaze if look something budget satisfy requirements speaker along proper voice integration recognition go blindly,Positive
2830,amaze interest goodi like,Positive
2249,amaze love quality sound experience thankyou amazon,Positive
1833,amaze mom fell love thisbut could improve music service could add like youtube music spotify etc,Positive
2044,amaze performance,Positive
959,amaze piece equipment,Positive
1729,amaze pretty useful,Positive
1185,amaze product,Positive
1378,amaze product,Positive
1650,amaze product,Positive
2979,amaze product,Positive
3667,amaze product,Positive
3753,amaze product,Positive
4120,amaze product,Positive
3412,amaze product alexa eco dotit will realy connect homesit excelent product coustmers,Positive
2897,amaze product alexa understand almost command mom also able operate use hindi version,Positive
4092,amaze product alexa will follow command say,Positive
893,amaze product amaze feature apart sound really good good kid well simply paisa wusool,Positive
2780,amaze product amazon coustomer support goodif problem solve imidiatly,Positive
3090,amaze product amazon good person house,Positive
2773,amaze product amazon thank much must buy,Positive
3799,amaze product amazonbluetooth connectivitysound quality everything best,Positive
1438,amaze product cheap n work like awesome maestro must buy product grow kidbetter give alexa not phone,Positive
2226,amaze product convenient must device if want lead smart hassle free life strongly recommend thank amazon,Positive
217,amaze product daughter want alexa happy m rat use months fabulous product m speechless must guy helpful funny entertain math solver funny game joke horror stories normal stories easy setup different languages volume good low high etc must buy thnx amazon geourgeous product,Positive
11,amaze product especially integration google calendar tons skills play around though hop will better software update butits bang product price buy wipro bulb echo dot together return wipro bulb get back get alexa truely bang smart assistant bluetooth speaker,Positive
948,amaze product essy use must buy,Positive
3131,amaze product get festival sale value money,Positive
2097,amaze product get one smart bulb,Positive
246,amaze product go but one con if buy play songs plzz dont sound quality not great but good but dont worry connect speakers sub woofer alexa via aux bluetooth last thing wan na say amaze even play game alexa like kbc wheel fun many thankyou read review,Positive
1235,amaze product good package get deliver time,Positive
895,amaze product good sound quality clarity easy configure use,Positive
3966,amaze product great price thank u amazon deal,Positive
734,amaze product like friend need knowledgeable perfect sound quality take bite time connect smart devices owners delight,Positive
3338,amaze product like member family,Positive
843,amaze product lot alexa enable products market will make alexa experience amaze sound quality superb normal size room,Positive
3115,amaze product love,Positive
2507,amaze product love product drawback work plug,Positive
2711,amaze product multipurpose use,Positive
1008,amaze product never miss opportunity impress fun happy time echo,Positive
3556,amaze product nice clear voice,Positive
332,amaze product price tag buy prime day deal get already echo device bigger one two parent inlaws super happy excite anyone look gift something nice near one get,Positive
3476,amaze product thankyou amazon,Positive
3891,amaze product voice recognition good play exactly need,Positive
2841,amaze product will love,Positive
1556,amaze product work amazingly could control lead light voice command,Positive
714,amaze product work like charm love experience if kid home gon na treat watch speak alexaspeaker quality adequate std size room bass effective good buy,Positive
890,amaze sound clarity work flawlesslyjust go itgot great deal syska lead smart wifi bulba mindblowing deal,Positive
1496,amaze sound quality speaker size great voice recognitiondidnt expect good bass,Positive
2759,amaze sound quality voice recognition go guy u wont regret,Positive
1625,amaze sound small speaker easy connectivity,Positive
3554,amaze think,Positive
963,amaze use smart bulbs automation utilities but term play music lack punch audio quality price,Positive
2198,amaze value money,Positive
3938,amaze voice recognize product good sound quality,Positive
1795,amazingbut little bite discrepancies ie sound not sharp clear difficult pair sony bravia smart tv,Positive
1527,amazingfull pesa vasool sound quality best voice recognition clear bestwow,Positive
1333,amazingi love product,Positive
2203,amazinng,Neutral
2521,amazon alexa best,Positive
763,amazon alexa echo dot best product easy use amaze good sound quality light weight handle,Positive
3813,amazon alexa good choice,Positive
3031,amazon alexa useful product smart home work smart assistant,Positive
271,amazon become synonymous excellent quality buy great indian sale echo dot generation mind blow super voice recognition amaze response usual product quality delivery amazon excellent,Positive
215,amazon echo dot gen best term hardware amaze sound quality proper balance base mids treble yes configure alexa app if youd likenext build quality really good feel firm bluetooth wifi connectivity awesome best part connect phone laptop use external speakerthe downside alexa need lot improvement term knowledge basic things carry pretty well like reminders alarm music etc however come answer question fail timetip keep add skills alexa app improvement,Positive
512,amazon echo dot gen work expect extent think not buy next gen video,Negative
2606,amazon echo dot genexcellent voice qualitygood product use,Neutral
315,amazon echo dot good product able understand voice command sound quality goodbought amazon salewas actually look blue tooth speaker sale come upand saw dot salepaid work fine far con work plug power outlet no battery backup,Positive
1061,amazon echo dot truly great product true smartness job extremely well impressive sound quality portable device easy handle completely satisfy,Positive
1364,amazon eco dot worth buy coz plug anywhere want easy use download alexa app connect device app also good sound quality,Positive
2626,amazon please replace product,Neutral
2151,amazon prime membership not give suggest time order,Neutral
2819,amazon prime recharge compulsory one years,Neutral
3257,amazon prime subscription instant good result command if best buy,Positive
4122,amazon product always good,Positive
2993,amazon product bro will always good,Positive
108,amazon products worst term software one doesnt understand word time even if will play random music instead one ask,Negative
2144,amazon think customers foolsno proper customer service,Neutral
411,amazon update devices enable use open wi fi hor spot otherwise may need dedicate wifi router always available mobile phone if go down alexa go down stick network let use open wifi,Positive
3528,amezing product,Neutral
3190,amezon acho dot products good,Positive
3018,amozons amaze product love,Positive
558,amzon give combo offer echo dot smart bulbfor but amazon cancel echo andthet send wipro smart bulbfor rsbalance rs will credit work days dont know worst sell concept sell product,Negative
1529,another great product amazon kid enjoy lot itlots skills fun,Positive
1746,answer not find device,Neutral
3780,anybody try use echo dot external speaker tv,Neutral
1039,anytime companion,Neutral
1476,app buggy non responsive make harder integrate echo dot isnt responsive efficient also voice recognition answer sometimes not mark,Negative
3707,app integration make less user interactions,Negative
2036,app not available play store use qatar u say use qatar but,Negative
598,arrive bundle wipro smart bulb doesnt connect voice recognition worse claim hear another roomits myth even doesnt hear m away although alexa play music amazon prime music unless specify spotify apple music,Negative
165,arrive fast good condition sound clear compare mobile speakersthe alexa app google play bugsi reinstall alexa app change wake word usefulhelps save timeonly concern privacynote even mute button not stop recordingonly way turn off switch safeguard privacy important conversations not use,Positive
688,artificial intelligence awesome recognise almost everything english hindi language,Positive
2390,audio,Neutral
3790,audio not clear,Negative
2571,audio put alexa super but bluetooth poor audio,Negative
1995,audio quality good enough much fun interact,Positive
234,audio quality really nice compare size speaker mostly use listen classic songssongs play incorrectly time unless alexa not give specific keywords song check googleconnecting home devices like light tv switch off doesnt make sense pairall speaker not upto expectations google way way better,Positive
1825,ausome good,Positive
3685,automatically switch off moment,Neutral
3245,aux give back side not work,Neutral
2493,average,Negative
2905,average,Negative
3987,average,Negative
4008,average,Negative
978,average product not good expect,Negative
3014,average proformbut good,Positive
4114,await finally recieved super excite,Positive
975,awesome,Positive
1021,awesome,Positive
1339,awesome,Positive
2261,awesome,Positive
2281,awesome,Positive
2286,awesome,Positive
2586,awesome,Positive
2636,awesome,Positive
2893,awesome,Positive
2956,awesome,Positive
3289,awesome,Positive
3356,awesome,Positive
3403,awesome,Positive
3610,awesome,Positive
3810,awesome,Positive
3816,awesome,Positive
3874,awesome,Positive
3903,awesome,Positive
4037,awesome,Positive
293,awesome alexa echo dot excite open dream come true awesome experience sound quality n voice recognition good love u alexa,Positive
3136,awesome bass sound quality,Positive
283,awesome but one thing miss google skill due time say dont know case search something difficult thing otherwise feature great,Positive
958,awesome buy amazon sale along wifi smart bulb worth,Positive
2883,awesome deal everyone must buy,Positive
3833,awesome device,Positive
298,awesome device amaze sound great bluetooth connectivity thank lot amazon voice recommendedhare krishna,Positive
2865,awesome device but miss inbuilt battery,Positive
1974,awesome device but need improvement,Positive
3088,awesome device but not local information provide useful songs control smart devices,Positive
2989,awesome device must purchase,Positive
2056,awesome experience hat off amazon,Positive
660,awesome friend helper love,Positive
3802,awesome get new friend,Positive
1520,awesome go,Positive
1334,awesome innovative product amazon recommend everyone one home,Positive
1714,awesome instrument house alexa friend year old son,Positive
1637,awesome intelligent product,Positive
4140,awesome kid njoy listen songs alexa,Positive
4156,awesome love alexa,Positive
463,awesome music quality good if dont prime membership set gaana default music service alexa app listen music without ads,Positive
2904,awesome must buyworth money,Positive
1857,awesome one become family member really helpful kid love,Positive
673,awesome product,Positive
1035,awesome product,Positive
1750,awesome product,Positive
2605,awesome product,Positive
2895,awesome product,Positive
3163,awesome product,Positive
3188,awesome product,Positive
3454,awesome product,Positive
3463,awesome product,Positive
3583,awesome product,Positive
3775,awesome product,Positive
3827,awesome product,Positive
4098,awesome product alexa,Positive
3727,awesome product alexa echo generation,Positive
1500,awesome product amazon,Positive
2060,awesome product amazon,Positive
2598,awesome product amazon alexa friend kid,Positive
1611,awesome product amozon,Positive
3029,awesome product better expectation,Positive
2094,awesome product buy itif find good blurtooth speaker voice controler buy product,Positive
993,awesome product cool feature ai love,Positive
2329,awesome product easy handle good quality sound,Positive
3427,awesome product go,Positive
3905,awesome product good quality,Positive
2408,awesome product quality good,Positive
922,awesome product say,Positive
3078,awesome product sound quality good,Positive
1082,awesome product sound quality good work bluetooth speaker,Positive
2911,awesome product sound quality nice alexa definitely entertain us love product,Positive
3622,awesome product thank amazon,Positive
3376,awesome productalexa understand everything,Positive
817,awesome producti like itgood buy,Positive
213,awesome productinteraction quality s great work like bluetooth speaker wifi not available but not make disappointmentbut overall impressive product,Positive
968,awesome productmy kid much like lean new things,Positive
1638,awesome products help everything,Positive
910,awesome productsound quality excellentvoice recognition also goodif look good smart speaker go itthe thing need good internet connection thats,Positive
2720,awesome productsound quality good,Positive
2746,awesome quality voice fast integration,Positive
4104,awesome response everything,Positive
2200,awesome smart speaker,Positive
2017,awesome sound carity simple use like childs,Positive
2237,awesome sound quality,Positive
2537,awesome sound quality,Positive
2686,awesome sound quality get great deal price sale,Positive
3859,awesome sound quality good product,Positive
1320,awesome sound quality however limit ai database responses limit worth buy if look limit interactions,Positive
722,awesome useless depend use pros conspros like come jio saavn hungama music gaanabut not multi tasker likeif command play song vol will reply sorry dont know no song name songs name vol but love,Positive
870,awesome worthyyou wont get bass like woofer but yoh wont regret take awesome voice recognition,Positive
3921,awesomesound,Neutral
80,awesomethere many things device make wonder cheapi get smart bulb device rsnow control bluetooth speaker tvfirestick bedroom light voice commandsthis fun years old kid alexa tell stories himthe voice recognition good proof even kid command alexa recognise,Positive
3383,awesum,Neutral
2909,awsm product love feel great someone obey command,Positive
3618,awsm sound awsm clarityevrythng awsm thisno one cn beat,Positive
3464,awsome,Neutral
1695,awsome device gift friend alexa inbuilt support voice everything totaly cool price,Positive
3989,awsome easy use nice love alexa,Positive
2447,awsome love package good easy connect bulb life easy,Positive
1489,baby like alexa much buy itshe enjoy,Positive
2697,bad,Negative
4007,bad,Negative
3230,bad baf,Negative
1734,bad can not connect internet always bore product waana send back u,Negative
2011,bad damage product receive cant able connect customer service,Negative
1890,bad device always play wrong song spotify really mess head,Negative
603,bad didnt ply odia lovable song want dont buy product google home mini smart generation good,Positive
1467,bad experience,Negative
1925,bad not good,Negative
4139,bad product,Negative
2320,bad product doesnt listen command,Negative
1096,bad product mostly elexa not understand commanduseless software,Negative
3418,bad product not work properly,Negative
897,bad product worst product buy life worst dont youtube music itamazon spotify cant play good music youtube,Negative
3886,bad productits not portable,Negative
2890,bad produt amazon,Negative
1305,bad quality alexa product like local speaker sound product light alsobad experience product,Negative
2437,bad quality old send also make chaina,Negative
896,bad quality product supply highly disappoint time doesnt work poor connectivity also sound quality bad blurr bad quality products supply amazon,Negative
2837,bad sound quality,Negative
1749,bad sound quality not adequate bass sound clarity poor,Negative
875,bad speakers music quality terrible spy amazon supply behaviour voice data gigantic surveillance machine amazon,Negative
1597,badit stop work days want return but dont find option,Neutral
3934,bakwas,Neutral
3200,bakwas h ek number ki,Neutral
4112,bass full sound,Positive
2284,bass good small roomskills also powerfulvoice recognition standardall video,Positive
1793,batary not charge felt give use product not new,Negative
2829,battery,Neutral
4046,battery inbuilt would much better,Positive
3471,battery include hoti best hota,Positive
4061,battery not avilable will purchase battery,Neutral
3177,beautiful good sound quality,Positive
2253,beautiful product,Positive
3232,bed quality,Neutral
497,begin amaze later im use music news nothing elseits quite handy if want know something quickly,Positive
816,begin could not connect phone echo dot put remark onlinereceived help call centrei connect echo dot successfully alexa blue tooth speakerit work fine,Positive
1941,bejos ki paidayish play well,Neutral
818,believe need get better voice recognition accent india people cant say word clearly ai improve,Positive
2159,best,Positive
2448,best,Positive
2569,best,Positive
2814,best,Positive
2971,best,Positive
3119,best,Positive
3124,best,Positive
3205,best,Positive
3253,best,Positive
3606,best,Positive
3754,best,Positive
3941,best,Positive
4022,best,Positive
3172,best ai device amazon,Positive
3729,best ai device get,Positive
336,best ai ever usedsound quality damn cooli order alexa hall bedroom yet listen dont judge big areamost favorite part order mom think waste money talk talk mei order alexa diwali sale receive along smart wifi bulb make interest look buy smart stuff connect alexa,Positive
1491,best amazon product nice easy use helpful,Positive
1766,best app,Positive
1690,best awesome,Positive
1984,best best price,Positive
1942,best but google home better,Positive
2211,best buy alexa best,Positive
2465,best buy convert home smart home,Positive
